Neuron Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,29.400000000000002,34.2,50.1,73.6,98.3,100.8,113.39999999999999,115.7,137.4,140.5,154.8,191.5,195.1,199.9,219.4,221.4,243.50000000000003,245.6,255.3,269.2,309.9,316.8,324.0,360.1,392.40000000000003,396.8,416.8,418.3,449.8,478.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27.200000000000003,29.300000000000004,39.6,51.9,60.3,95.5,108.0,131.4,140.6,146.2,156.9,189.0,206.5,291.8,298.9,301.2,303.3,307.4,324.3,326.5,331.90000000000003,333.8,357.1,367.4,395.6,401.40000000000003,429.4,439.4,447.09999999999997,460.90000000000003,467.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.6,26.8,70.5,145.3,173.70000000000002,189.9,204.3,215.7,220.9,230.0,231.6,235.70000000000002,263.40000000000003,283.90000000000003,285.1,300.0,336.1,338.6,353.2,402.5,419.50000000000006,474.40000000000003,479.5,492.00000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.800000000000001,47.5,52.50000000000001,64.7,85.8,108.7,113.60000000000001,115.3,124.2,131.0,165.6,214.9,215.7,216.7,225.70000000000002,231.3,238.9,286.0,297.00000000000006,307.0,323.20000000000005,324.90000000000003,377.5,384.8,389.5,393.5,397.6,406.8,407.8,421.9,436.8,442.5,447.90000000000003,472.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19.200000000000003,21.0,29.400000000000002,31.400000000000002,59.300000000000004,68.19999999999999,75.2,80.30000000000001,88.7,107.1,161.20000000000002,167.3,177.7,181.2,186.60000000000002,204.6,216.0,317.70000000000005,332.6,334.90000000000003,343.1,346.7,347.90000000000003,390.0,405.90000000000003,414.7,418.7,471.3,484.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.3,70.3,84.2,113.0,118.2,145.4,180.6,197.20000000000002,218.3,228.0,252.8,272.5,279.7,281.6,299.0,309.8,336.1,356.7,376.9,381.09999999999997,399.6,412.5,414.40000000000003,422.8,430.1,445.70000000000005,455.20000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.8,22.2,31.400000000000002,43.5,44.50000000000001,51.1,63.5,131.9,140.9,158.79999999999998,179.00000000000003,195.9,212.7,237.9,244.2,285.5,290.4,291.4,303.6,313.70000000000005,318.59999999999997,347.1,369.20000000000005,371.3,428.7,463.3,476.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.800000000000001,20.200000000000003,43.4,54.400000000000006,82.4,113.39999999999999,141.70000000000002,153.8,160.5,178.8,189.29999999999998,226.4,233.70000000000002,248.3,256.8,270.40000000000003,272.6,276.0,279.2,314.20000000000005,317.90000000000003,324.7,342.5,350.9,384.09999999999997,430.9,450.5,479.40000000000003,480.1,488.4,493.50000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.3,21.8,40.800000000000004,123.7,126.60000000000001,142.6,175.5,263.6,276.40000000000003,300.5,311.5,327.1,344.1,359.8,367.4,385.20000000000005,387.8,390.90000000000003,402.8,432.3,434.9,449.90000000000003,462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13.8,40.1,74.1,75.3,94.89999999999999,163.0,181.9,269.8,290.9,291.8,343.3,355.2,363.9,365.1,372.70000000000005,414.6,419.7,431.3,438.6,440.1,440.5,447.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16.3,23.900000000000002,37.4,42.7,45.900000000000006,66.0,73.6,90.50000000000001,107.9,149.9,151.5,201.6,243.3,244.50000000000003,266.6,286.5,292.8,299.3,309.0,328.8,345.3,357.7,370.70000000000005,431.8,442.8,485.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.2,32.0,36.7,54.900000000000006,69.10000000000001,76.5,100.0,125.60000000000001,133.0,147.3,152.3,232.9,236.9,246.00000000000003,251.4,253.1,262.0,265.7,316.5,325.09999999999997,342.6,351.4,366.0,371.20000000000005,385.59999999999997,413.8,425.3,477.3,496.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.30000000000000004,13.3,40.199999999999996,42.1,64.0,70.9,100.8,106.7,115.3,122.6,179.00000000000003,184.5,202.8,215.60000000000002,254.0,336.90000000000003,403.3,407.7,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.9,3.8,36.1,62.0,81.0,95.10000000000001,118.60000000000001,123.6,130.5,131.9,139.9,145.8,153.2,163.5,185.2,211.7,263.0,300.1,326.90000000000003,344.6,346.2,352.5,381.3,386.20000000000005,397.3,446.3,466.0,476.2,478.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.2,13.5,31.8,51.4,63.4,68.60000000000001,78.2,118.5,120.2,122.00000000000001,148.7,149.9,164.0,190.29999999999998,224.20000000000002,275.5,287.5,313.0,349.0,351.4,360.9,385.70000000000005,393.40000000000003,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3.7,5.3,33.300000000000004,52.0,72.3,76.4,85.9,86.9,100.5,136.39999999999998,165.6,182.6,225.20000000000002,295.50000000000006,298.1,326.5,346.2,353.7,356.4,392.2,398.0,406.3,408.90000000000003,435.70000000000005,478.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.4,8.9,115.2,144.9,148.3,159.29999999999998,163.4,194.9,209.7,220.5,237.1,251.3,258.5,265.5,322.0,343.2,386.40000000000003,392.6,405.8,414.2,415.5,437.1,439.70000000000005,461.0,472.8,474.5,496.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.7,9.600000000000001,14.3,21.7,47.5,72.2,86.3,98.5,112.2,113.7,156.60000000000002,164.5,168.5,169.3,183.8,203.1,208.0,208.6,263.0,285.3,299.9,318.40000000000003,331.0,331.7,347.7,404.1,408.5,449.3,458.40000000000003,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
